section,row,pui,order_id,payment_id,amount,error,reason
error,202,6089,,,,"Payment mode not found: ""Cheque""",
error,203,6239,,,,"Payment mode not found: ""Cheque""",
error,204,6228,,,,"Payment mode not found: ""Cheque""",
error,205,6301,,,,"Payment mode not found: ""Cheque""",
error,206,6190,,,,"Payment mode not found: ""Cheque""",
error,207,6290,,,,"Payment mode not found: ""Cash""",
error,208,6435,,,,"Payment mode not found: ""Cash""",
error,209,5101,,,,"Payment mode not found: ""Cash""",
error,210,5643,,,,"Payment mode not found: ""UPI / QR Code""",
error,211,5822,,,,"Payment mode not found: ""UPI / QR Code""",
error,212,6422,,,,"Payment mode not found: ""Cheque""",
error,213,6611,,,,"Payment mode not found: ""Cheque""",
error,214,6598,,,,"Payment mode not found: ""Cash""",
error,215,6370,,,,"Payment mode not found: ""NEFT / RTGS""",
error,216,6559,,,,"Payment mode not found: ""NEFT / RTGS""",
error,217,6484,,,,"Payment mode not found: ""Cheque""",
error,218,5821,,,,"Payment mode not found: ""Cheque""",
error,219,6540,,,,"Payment mode not found: ""Cash""",
error,220,6582,,,,"Payment mode not found: ""Cash""",
error,221,6565,,,,"Payment mode not found: ""Cheque""",
error,222,6346,,,,"Payment mode not found: ""Cheque""",
error,223,6251,,,,"Payment mode not found: ""Cheque""",
error,224,6538,,,,"Payment mode not found: ""Cheque""",
error,225,6335,,,,"Payment mode not found: ""UPI / QR Code""",
error,226,6193,,,,"Payment mode not found: ""Cheque""",
error,227,6007,,,,"Payment mode not found: ""Cheque""",
error,228,5938,,,,"Payment mode not found: ""Cheque""",
error,229,6005,,,,"Payment mode not found: ""Cheque""",
error,230,6027,,,,"Payment mode not found: ""Cheque""",
error,231,6535,,,,"Payment mode not found: ""Cash""",
error,232,6453,,,,"Payment mode not found: ""Cheque""",
error,233,6447,,,,"Payment mode not found: ""Cheque""",
error,234,6299,,,,"Payment mode not found: ""UPI / QR Code""",
error,235,6204,,,,"Payment mode not found: ""Cheque""",
error,236,5636,,,,"Payment mode not found: ""Cheque""",
error,237,5930,,,,"Payment mode not found: ""Cheque""",
error,238,5913,,,,"Payment mode not found: ""Cheque""",
error,239,6190,,,,"Payment mode not found: ""Cheque""",
error,240,6220,,,,"Payment mode not found: ""Cheque""",
error,241,6282,,,,"Payment mode not found: ""Cheque""",
error,242,6262,,,,"Payment mode not found: ""Cheque""",
error,243,6297,,,,"Payment mode not found: ""Cheque""",
error,244,6370,,,,"Payment mode not found: ""Cheque""",
error,245,6303,,,,"Payment mode not found: ""Cheque""",
error,246,6302,,,,"Payment mode not found: ""Cheque""",
error,247,6305,,,,"Payment mode not found: ""Cheque""",
error,248,6312,,,,"Payment mode not found: ""Cheque""",
error,249,6314,,,,"Payment mode not found: ""Cheque""",
error,250,6327,,,,"Payment mode not found: ""Cheque""",
error,251,6326,,,,"Payment mode not found: ""Cheque""",
error,252,6267,,,,"Payment mode not found: ""Cheque""",
error,253,6351,,,,"Payment mode not found: ""Cheque""",
error,254,6384,,,,"Payment mode not found: ""Cheque""",
error,255,6493,,,,"Payment mode not found: ""Cheque""",
error,256,6010,,,,"Payment mode not found: ""Cheque""",
error,257,5954,,,,"Payment mode not found: ""Cheque""",
error,258,6426,,,,"Payment mode not found: ""Cheque""",
error,259,6288,,,,"Payment mode not found: ""Cheque""",
error,260,5822,,,,"Payment mode not found: ""Cheque""",
error,261,6308,,,,"Payment mode not found: ""Cash""",
error,262,6245,,,,"Payment mode not found: ""UPI / QR Code""",
error,263,6582,,,,"Payment mode not found: ""Cash""",
error,264,5619,,,,"Payment mode not found: ""UPI / QR Code""",
error,265,6349,,,,"Payment mode not found: ""UPI / QR Code""",
error,266,6278,,,,"Payment mode not found: ""Cheque""",
error,267,6278,,,,"Payment mode not found: ""Cheque""",
error,268,6279,,,,"Payment mode not found: ""Cheque""",
error,269,6277,,,,"Payment mode not found: ""Cheque""",
error,270,6276,,,,"Payment mode not found: ""Cheque""",
error,271,6276,,,,"Payment mode not found: ""Cheque""",
error,272,6269,,,,"Payment mode not found: ""NEFT / RTGS""",
error,273,5920,,,,"Payment mode not found: ""UPI / QR Code""",
error,274,6566,,,,"Payment mode not found: ""Cash""",
error,275,6202,,,,"Payment mode not found: ""Cash""",
error,276,5619,,,,"Payment mode not found: ""UPI / QR Code""",
error,277,6293,,,,"Payment mode not found: ""Cash""",
error,278,6590,,,,"Payment mode not found: ""UPI / QR Code""",
error,279,6225,,,,"Payment mode not found: ""Cheque""",
error,280,6230,,,,"Payment mode not found: ""Cheque""",
error,281,6015,,,,"Payment mode not found: ""Cheque""",
error,282,6011,,,,"Payment mode not found: ""Cheque""",
error,283,6009,,,,"Payment mode not found: ""Cheque""",
error,284,5988,,,,"Payment mode not found: ""Cheque""",
error,285,6079,,,,"Payment mode not found: ""Cheque""",
error,286,5821,,,,"Payment mode not found: ""Cheque""",
error,287,6082,,,,"Payment mode not found: ""Cheque""",
error,288,6083,,,,"Payment mode not found: ""Cheque""",
error,289,5812,,,,"Payment mode not found: ""UPI / QR Code""",
error,290,6517,,,,"Payment mode not found: ""Cheque""",
error,291,6077,,,,"Payment mode not found: ""Cheque""",
error,292,6072,,,,"Payment mode not found: ""Cheque""",
error,293,6470,,,,"Payment mode not found: ""Cash""",
error,294,5871,,,,"Payment mode not found: ""Loan Payment""",
error,295,6191,,,,"Payment mode not found: ""Loan Payment""",
error,296,6283,,,,"Payment mode not found: ""Cash""",
error,297,6423,,,,"Payment mode not found: ""Loan Payment""",
error,298,6244,,,,"Payment mode not found: ""Loan Payment""",
error,299,6266,,,,"Payment mode not found: ""Cash""",
error,300,6244,,,,"Payment mode not found: ""Cash""",
error,301,6245,,,,"Payment mode not found: ""Cash""",
error,302,6349,,,,"Payment mode not found: ""Cheque""",
error,303,6241,,,,"Payment mode not found: ""Cheque""",
error,304,6192,,,,"Payment mode not found: ""Cheque""",
error,305,6191,,,,"Payment mode not found: ""Cheque""",
error,306,5973,,,,"Payment mode not found: ""Cheque""",
error,307,5627,,,,"Payment mode not found: ""Cheque""",
error,308,5190,,,,"Payment mode not found: ""Cheque""",
error,309,6245,,,,"Payment mode not found: ""UPI / QR Code""",
error,310,6244,,,,"Payment mode not found: ""Cash""",
error,311,6537,,,,"Payment mode not found: ""Cheque""",
error,312,6603,,,,"Payment mode not found: ""Cheque""",
error,313,6318,,,,"Payment mode not found: ""Loan Payment""",
error,314,6489,,,,"Payment mode not found: ""Cash""",
error,315,5955,,,,"Payment mode not found: ""Loan Payment""",
error,316,5822,,,,"Payment mode not found: ""Loan Payment""",
error,317,6282,,,,"Payment mode not found: ""Loan Payment""",
error,318,6340,,,,"Payment mode not found: ""Cheque""",
error,319,6218,,,,"Payment mode not found: ""Cheque""",
error,320,6348,,,,"Payment mode not found: ""UPI / QR Code""",
error,321,6309,,,,"Payment mode not found: ""Cheque""",
error,322,6154,,,,"Payment mode not found: ""Cheque""",
error,323,6316,,,,"Payment mode not found: ""Cheque""",
error,324,5603,,,,"Payment mode not found: ""Cash""",
error,325,6380,,,,"Payment mode not found: ""Cheque""",
error,326,6381,,,,"Payment mode not found: ""Loan Payment""",
error,327,6382,,,,"Payment mode not found: ""Cheque""",
error,328,6275,,,,"Payment mode not found: ""Cash""",
error,329,6383,,,,"Payment mode not found: ""Cheque""",
error,330,6517,,,,"Payment mode not found: ""Cash""",
error,331,5920,,,,"Payment mode not found: ""Cheque""",
error,332,6375,,,,"Payment mode not found: ""Loan Payment""",
error,333,5967,,,,"Payment mode not found: ""Cheque""",
error,334,5304,,,,"Payment mode not found: ""Cheque""",
error,335,5807,,,,"Payment mode not found: ""Cheque""",
error,336,5812,,,,"Payment mode not found: ""Cheque""",
error,337,6221,,,,"Payment mode not found: ""Cheque""",
error,338,6208,,,,"Payment mode not found: ""Cheque""",
error,339,6273,,,,"Payment mode not found: ""Cheque""",
error,340,6013,,,,"Payment mode not found: ""Cheque""",
error,341,5560,,,,"Payment mode not found: ""Loan Payment""",
error,342,6537,,,,"Payment mode not found: ""Cheque""",
error,343,6417,,,,"Payment mode not found: ""Cash""",
error,344,6512,,,,"Payment mode not found: ""Cash""",
error,345,6218,,,,"Payment mode not found: ""UPI / QR Code""",
error,346,6071,,,,"Payment mode not found: ""Cheque""",
error,347,6511,,,,"Payment mode not found: ""UPI / QR Code""",
error,348,6464,,,,"Payment mode not found: ""Cash""",
error,349,6516,,,,"Payment mode not found: ""Cash""",
error,350,5659,,,,"Payment mode not found: ""Loan Payment""",
error,351,6248,,,,"Payment mode not found: ""Cash""",
error,352,5954,,,,"Payment mode not found: ""Loan Payment""",
error,353,6473,,,,"Payment mode not found: ""UPI / QR Code""",
error,354,6473,,,,"Payment mode not found: ""Cash""",
error,355,6318,,,,"Payment mode not found: ""Cash""",
error,356,6364,,,,"Payment mode not found: ""Cash""",
error,357,6443,,,,"Payment mode not found: ""Cheque""",
error,358,6439,,,,"Payment mode not found: ""Cheque""",
error,359,6209,,,,"Payment mode not found: ""UPI / QR Code""",
error,360,6310,,,,"Payment mode not found: ""Cash""",
error,361,6390,,,,"Payment mode not found: ""Cash""",
error,362,6427,,,,"Payment mode not found: ""Cheque""",
error,363,5880,,,,"Payment mode not found: ""Cheque""",
error,364,5659,,,,"Payment mode not found: ""Cheque""",
error,365,6023,,,,"Payment mode not found: ""UPI / QR Code""",
error,366,5777,,,,"Payment mode not found: ""Cheque""",
error,367,6195,,,,"Payment mode not found: ""Cheque""",
error,368,6210,,,,"Payment mode not found: ""Cheque""",
error,369,6218,,,,"Payment mode not found: ""Cheque""",
error,370,6449,,,,"Payment mode not found: ""Cash""",
error,371,6207,,,,"Payment mode not found: ""Cheque""",
error,372,5800,,,,"Payment mode not found: ""Cheque""",
error,373,6341,,,,"Payment mode not found: ""Cheque""",
error,374,6538,,,,"Payment mode not found: ""UPI / QR Code""",
error,375,6404,,,,"Payment mode not found: ""Cheque""",
error,376,6538,,,,"Payment mode not found: ""UPI / QR Code""",
error,377,6518,,,,"Payment mode not found: ""Cash""",
error,378,6014,,,,"Payment mode not found: ""Cheque""",
error,379,6295,,,,"Payment mode not found: ""Cash""",
error,380,6391,,,,"Payment mode not found: ""NEFT / RTGS""",
error,381,6392,,,,"Payment mode not found: ""NEFT / RTGS""",
error,382,6330,,,,"Payment mode not found: ""Loan Payment""",
error,383,6084,,,,"Payment mode not found: ""Cheque""",
error,384,6340,,,,"Payment mode not found: ""Cheque""",
error,385,6343,,,,"Payment mode not found: ""Loan Payment""",
error,386,6331,,,,"Payment mode not found: ""Loan Payment""",
error,387,6426,,,,"Payment mode not found: ""Cash""",
error,388,5616,,,,"Payment mode not found: ""Cheque""",
error,389,6450,,,,"Payment mode not found: ""Loan Payment""",
error,390,6267,,,,"Payment mode not found: ""UPI / QR Code""",
error,391,6267,,,,"Payment mode not found: ""UPI / QR Code""",
error,392,6484,,,,"Payment mode not found: ""NEFT / RTGS""",
error,393,6351,,,,"Payment mode not found: ""Cash""",
error,394,6321,,,,"Payment mode not found: ""Cash""",
error,395,6321,,,,"Payment mode not found: ""Loan Payment""",
error,396,6484,,,,"Payment mode not found: ""UPI / QR Code""",
error,397,6447,,,,"Payment mode not found: ""Cheque""",
error,398,5616,,,,"Payment mode not found: ""Loan Payment""",
error,399,6023,,,,"Payment mode not found: ""Loan Payment""",
error,400,5807,,,,"Payment mode not found: ""Loan Payment""",
error,401,6438,,,,"Payment mode not found: ""UPI / QR Code""",
error,402,6425,,,,"Payment mode not found: ""Cheque""",
error,403,6263,,,,"Payment mode not found: ""Cash""",
error,404,6258,,,,"Payment mode not found: ""Cash""",
error,405,6294,,,,"Payment mode not found: ""Cash""",
error,406,6493,,,,"Payment mode not found: ""UPI / QR Code""",
error,407,6453,,,,"Payment mode not found: ""Cash""",
error,408,6321,,,,"Payment mode not found: ""Cash""",
